,Sex,Single Year of Age,Administrative Counties,VALUE
3420,Male,3 years,Sligo County Council,420
3421,Male,3 years,Cavan County Council,560
3422,Male,3 years,Donegal County Council,1030
3423,Male,3 years,Monaghan County Council,488
3424,Male,4 years,Ireland,31686
3425,Male,4 years,Carlow County Council,376
3426,Male,4 years,Dublin City Council,2869
3427,Male,4 years,Dún Laoghaire Rathdown County Council,1380
3428,Male,4 years,Fingal County Council,2275
3429,Male,4 years,South Dublin County Council,2002
3430,Male,4 years,Kildare County Council,1704
3431,Male,4 years,Kilkenny County Council,616
3432,Male,4 years,Laois County Council,643
3433,Male,4 years,Longford County Council,276
3434,Male,4 years,Louth County Council,918
3435,Male,4 years,Meath County Council,1578
3436,Male,4 years,Offaly County Council,519
3437,Male,4 years,Westmeath County Council,599
3438,Male,4 years,Wexford County Council,1020
3439,Male,4 years,Wicklow County Council,1010
3440,Male,4 years,Clare County Council,739
3441,Male,4 years,Cork City Council,1142
3442,Male,4 years,Cork County Council,2358
3443,Male,4 years,Kerry County Council,876
3444,Male,4 years,Limerick City & County Council,1240
3445,Male,4 years,Tipperary County Council,1074
3446,Male,4 years,Waterford City & County Council,756
3447,Male,4 years,Galway City Council,412
3448,Male,4 years,Galway County Council,1354
3449,Male,4 years,Leitrim County Council,223
3450,Male,4 years,Mayo  County Council,842
3451,Male,4 years,Roscommon County Council,427
3452,Male,4 years,Sligo County Council,412
3453,Male,4 years,Cavan County Council,555
3454,Male,4 years,Donegal County Council,1042
3455,Male,4 years,Monaghan County Council,449
3456,Male,5 years,Ireland,32684
3457,Male,5 years,Carlow County Council,384
3458,Male,5 years,Dublin City Council,2793
3459,Male,5 years,Dún Laoghaire Rathdown County Council,1442
3460,Male,5 years,Fingal County Council,2387
3461,Male,5 years,South Dublin County Council,2107
3462,Male,5 years,Kildare County Council,1692
3463,Male,5 years,Kilkenny County Council,693
3464,Male,5 years,Laois County Council,641
3465,Male,5 years,Longford County Council,347
3466,Male,5 years,Louth County Council,897
3467,Male,5 years,Meath County Council,1601
3468,Male,5 years,Offaly County Council,569
3469,Male,5 years,Westmeath County Council,659
3470,Male,5 years,Wexford County Council,1022
3471,Male,5 years,Wicklow County Council,1063
3472,Male,5 years,Clare County Council,821
3473,Male,5 years,Cork City Council,1176
3474,Male,5 years,Cork County Council,2406
3475,Male,5 years,Kerry County Council,938
3476,Male,5 years,Limerick City & County Council,1294
3477,Male,5 years,Tipperary County Council,1083
3478,Male,5 years,Waterford City & County Council,787
3479,Male,5 years,Galway City Council,437
3480,Male,5 years,Galway County Council,1326
3481,Male,5 years,Leitrim County Council,229
3482,Male,5 years,Mayo  County Council,880
3483,Male,5 years,Roscommon County Council,471
3484,Male,5 years,Sligo County Council,427
3485,Male,5 years,Cavan County Council,599
3486,Male,5 years,Donegal County Council,1079
3487,Male,5 years,Monaghan County Council,434
3488,Male,6 years,Ireland,34092
3489,Male,6 years,Carlow County Council,383
3490,Male,6 years,Dublin City Council,2934
3491,Male,6 years,Dún Laoghaire Rathdown County Council,1485
3492,Male,6 years,Fingal County Council,2502
3493,Male,6 years,South Dublin County Council,2141
3494,Male,6 years,Kildare County Council,1784
3495,Male,6 years,Kilkenny County Council,763
3496,Male,6 years,Laois County Council,698
3497,Male,6 years,Longford County Council,337
3498,Male,6 years,Louth County Council,987
3499,Male,6 years,Meath County Council,1588
3500,Male,6 years,Offaly County Council,557
3501,Male,6 years,Westmeath County Council,684
3502,Male,6 years,Wexford County Council,1107
3503,Male,6 years,Wicklow County Council,1090
3504,Male,6 years,Clare County Council,867
3505,Male,6 years,Cork City Council,1268
3506,Male,6 years,Cork County Council,2638
3507,Male,6 years,Kerry County Council,945
3508,Male,6 years,Limerick City & County Council,1304
3509,Male,6 years,Tipperary County Council,1123
3510,Male,6 years,Waterford City & County Council,847
3511,Male,6 years,Galway City Council,449
3512,Male,6 years,Galway County Council,1359
3513,Male,6 years,Leitrim County Council,232
3514,Male,6 years,Mayo  County Council,917
3515,Male,6 years,Roscommon County Council,450
3516,Male,6 years,Sligo County Council,423
3517,Male,6 years,Cavan County Council,585
3518,Male,6 years,Donegal County Council,1163
3519,Male,6 years,Monaghan County Council,482
3520,Male,7 years,Ireland,35429
3521,Male,7 years,Carlow County Council,434
3522,Male,7 years,Dublin City Council,3021
3523,Male,7 years,Dún Laoghaire Rathdown County Council,1505
3524,Male,7 years,Fingal County Council,2577
3525,Male,7 years,South Dublin County Council,2302
3526,Male,7 years,Kildare County Council,1879
3527,Male,7 years,Kilkenny County Council,711
3528,Male,7 years,Laois County Council,713
3529,Male,7 years,Longford County Council,331
3530,Male,7 years,Louth County Council,1014
3531,Male,7 years,Meath County Council,1774
3532,Male,7 years,Offaly County Council,620
3533,Male,7 years,Westmeath County Council,654
3534,Male,7 years,Wexford County Council,1164
3535,Male,7 years,Wicklow County Council,1152
3536,Male,7 years,Clare County Council,858
3537,Male,7 years,Cork City Council,1369
3538,Male,7 years,Cork County Council,2737
3539,Male,7 years,Kerry County Council,1011
3540,Male,7 years,Limerick City & County Council,1332
3541,Male,7 years,Tipperary County Council,1148
3542,Male,7 years,Waterford City & County Council,848
3543,Male,7 years,Galway City Council,460
3544,Male,7 years,Galway County Council,1368
3545,Male,7 years,Leitrim County Council,254
3546,Male,7 years,Mayo  County Council,924
3547,Male,7 years,Roscommon County Council,507
3548,Male,7 years,Sligo County Council,508
3549,Male,7 years,Cavan County Council,607
3550,Male,7 years,Donegal County Council,1137
3551,Male,7 years,Monaghan County Council,510
3552,Male,8 years,Ireland,36296
3553,Male,8 years,Carlow County Council,415
3554,Male,8 years,Dublin City Council,3095
3555,Male,8 years,Dún Laoghaire Rathdown County Council,1517
3556,Male,8 years,Fingal County Council,2752
3557,Male,8 years,South Dublin County Council,2320
3558,Male,8 years,Kildare County Council,1926
3559,Male,8 years,Kilkenny County Council,781
3560,Male,8 years,Laois County Council,723
3561,Male,8 years,Longford County Council,348
3562,Male,8 years,Louth County Council,1048
3563,Male,8 years,Meath County Council,1881
3564,Male,8 years,Offaly County Council,638
3565,Male,8 years,Westmeath County Council,700
3566,Male,8 years,Wexford County Council,1188
3567,Male,8 years,Wicklow County Council,1132
3568,Male,8 years,Clare County Council,869
3569,Male,8 years,Cork City Council,1270
3570,Male,8 years,Cork County Council,2785
3571,Male,8 years,Kerry County Council,957
3572,Male,8 years,Limerick City & County Council,1408
3573,Male,8 years,Tipperary County Council,1158
3574,Male,8 years,Waterford City & County Council,916
3575,Male,8 years,Galway City Council,443
3576,Male,8 years,Galway County Council,1507
3577,Male,8 years,Leitrim County Council,254
3578,Male,8 years,Mayo  County Council,931
3579,Male,8 years,Roscommon County Council,512
3580,Male,8 years,Sligo County Council,481
3581,Male,8 years,Cavan County Council,602
3582,Male,8 years,Donegal County Council,1224
3583,Male,8 years,Monaghan County Council,515
3584,Male,9 years,Ireland,36969
3585,Male,9 years,Carlow County Council,447
3586,Male,9 years,Dublin City Council,3040
3587,Male,9 years,Dún Laoghaire Rathdown County Council,1454
3588,Male,9 years,Fingal County Council,2775
3589,Male,9 years,South Dublin County Council,2298
3590,Male,9 years,Kildare County Council,1939
3591,Male,9 years,Kilkenny County Council,756
3592,Male,9 years,Laois County Council,780
3593,Male,9 years,Longford County Council,390
3594,Male,9 years,Louth County Council,1063
3595,Male,9 years,Meath County Council,1805
3596,Male,9 years,Offaly County Council,610
3597,Male,9 years,Westmeath County Council,748
3598,Male,9 years,Wexford County Council,1235
3599,Male,9 years,Wicklow County Council,1203
3600,Male,9 years,Clare County Council,933
3601,Male,9 years,Cork City Council,1346
3602,Male,9 years,Cork County Council,2802
3603,Male,9 years,Kerry County Council,1071
3604,Male,9 years,Limerick City & County Council,1462
3605,Male,9 years,Tipperary County Council,1127
3606,Male,9 years,Waterford City & County Council,901
3607,Male,9 years,Galway City Council,477
3608,Male,9 years,Galway County Council,1545
3609,Male,9 years,Leitrim County Council,284
3610,Male,9 years,Mayo  County Council,978
3611,Male,9 years,Roscommon County Council,546
3612,Male,9 years,Sligo County Council,512
3613,Male,9 years,Cavan County Council,687
3614,Male,9 years,Donegal County Council,1222
3615,Male,9 years,Monaghan County Council,533
3616,Male,10 years,Ireland,38035
3617,Male,10 years,Carlow County Council,475
3618,Male,10 years,Dublin City Council,3147
3619,Male,10 years,Dún Laoghaire Rathdown County Council,1586
3620,Male,10 years,Fingal County Council,2938
3621,Male,10 years,South Dublin County Council,2527
3622,Male,10 years,Kildare County Council,1985
3623,Male,10 years,Kilkenny County Council,847
3624,Male,10 years,Laois County Council,793
3625,Male,10 years,Longford County Council,367
3626,Male,10 years,Louth County Council,1096
3627,Male,10 years,Meath County Council,1956
3628,Male,10 years,Offaly County Council,643
3629,Male,10 years,Westmeath County Council,715
3630,Male,10 years,Wexford County Council,1266
3631,Male,10 years,Wicklow County Council,1183
3632,Male,10 years,Clare County Council,914
3633,Male,10 years,Cork City Council,1295
3634,Male,10 years,Cork County Council,2821
3635,Male,10 years,Kerry County Council,1043
3636,Male,10 years,Limerick City & County Council,1476
3637,Male,10 years,Tipperary County Council,1290
3638,Male,10 years,Waterford City & County Council,904
3639,Male,10 years,Galway City Council,450
3640,Male,10 years,Galway County Council,1556
3641,Male,10 years,Leitrim County Council,245
3642,Male,10 years,Mayo  County Council,968
3643,Male,10 years,Roscommon County Council,524
3644,Male,10 years,Sligo County Council,553
3645,Male,10 years,Cavan County Council,651
3646,Male,10 years,Donegal County Council,1277
3647,Male,10 years,Monaghan County Council,544
3648,Male,11 years,Ireland,38296
3649,Male,11 years,Carlow County Council,514
3650,Male,11 years,Dublin City Council,3053
3651,Male,11 years,Dún Laoghaire Rathdown County Council,1536
3652,Male,11 years,Fingal County Council,2807
3653,Male,11 years,South Dublin County Council,2382
3654,Male,11 years,Kildare County Council,2127
3655,Male,11 years,Kilkenny County Council,800
3656,Male,11 years,Laois County Council,824
3657,Male,11 years,Longford County Council,391
3658,Male,11 years,Louth County Council,1120
3659,Male,11 years,Meath County Council,1978
3660,Male,11 years,Offaly County Council,659
3661,Male,11 years,Westmeath County Council,770
3662,Male,11 years,Wexford County Council,1220
3663,Male,11 years,Wicklow County Council,1247
3664,Male,11 years,Clare County Council,908
3665,Male,11 years,Cork City Council,1393
3666,Male,11 years,Cork County Council,2979
3667,Male,11 years,Kerry County Council,1042
3668,Male,11 years,Limerick City & County Council,1492
3669,Male,11 years,Tipperary County Council,1268
3670,Male,11 years,Waterford City & County Council,934
3671,Male,11 years,Galway City Council,491
3672,Male,11 years,Galway County Council,1491
3673,Male,11 years,Leitrim County Council,266
3674,Male,11 years,Mayo  County Council,1015
3675,Male,11 years,Roscommon County Council,553
3676,Male,11 years,Sligo County Council,497
3677,Male,11 years,Cavan County Council,704
3678,Male,11 years,Donegal County Council,1330
3679,Male,11 years,Monaghan County Council,505
3680,Male,12 years,Ireland,38957
3681,Male,12 years,Carlow County Council,441
3682,Male,12 years,Dublin City Council,3236
3683,Male,12 years,Dún Laoghaire Rathdown County Council,1561
3684,Male,12 years,Fingal County Council,3013
3685,Male,12 years,South Dublin County Council,2459
3686,Male,12 years,Kildare County Council,2057
3687,Male,12 years,Kilkenny County Council,825
3688,Male,12 years,Laois County Council,818
3689,Male,12 years,Longford County Council,381
3690,Male,12 years,Louth County Council,1098
3691,Male,12 years,Meath County Council,1964
3692,Male,12 years,Offaly County Council,681
3693,Male,12 years,Westmeath County Council,752
3694,Male,12 years,Wexford County Council,1215
3695,Male,12 years,Wicklow County Council,1261
3696,Male,12 years,Clare County Council,984
3697,Male,12 years,Cork City Council,1356
3698,Male,12 years,Cork County Council,3072
3699,Male,12 years,Kerry County Council,1165
3700,Male,12 years,Limerick City & County Council,1521
3701,Male,12 years,Tipperary County Council,1346
3702,Male,12 years,Waterford City & County Council,984
3703,Male,12 years,Galway City Council,443
3704,Male,12 years,Galway County Council,1530
3705,Male,12 years,Leitrim County Council,256
3706,Male,12 years,Mayo  County Council,1000
3707,Male,12 years,Roscommon County Council,508
3708,Male,12 years,Sligo County Council,521
3709,Male,12 years,Cavan County Council,645
3710,Male,12 years,Donegal County Council,1332
3711,Male,12 years,Monaghan County Council,532
3712,Male,13 years,Ireland,38474
3713,Male,13 years,Carlow County Council,484
3714,Male,13 years,Dublin City Council,3064
3715,Male,13 years,Dún Laoghaire Rathdown County Council,1544
3716,Male,13 years,Fingal County Council,2830
3717,Male,13 years,South Dublin County Council,2373
3718,Male,13 years,Kildare County Council,2058
3719,Male,13 years,Kilkenny County Council,843
3720,Male,13 years,Laois County Council,788
3721,Male,13 years,Longford County Council,385
3722,Male,13 years,Louth County Council,1190
3723,Male,13 years,Meath County Council,1897
3724,Male,13 years,Offaly County Council,694
3725,Male,13 years,Westmeath County Council,743
3726,Male,13 years,Wexford County Council,1338
3727,Male,13 years,Wicklow County Council,1294
3728,Male,13 years,Clare County Council,960
3729,Male,13 years,Cork City Council,1292
3730,Male,13 years,Cork County Council,2936
3731,Male,13 years,Kerry County Council,1107
3732,Male,13 years,Limerick City & County Council,1516
3733,Male,13 years,Tipperary County Council,1256
3734,Male,13 years,Waterford City & County Council,942
3735,Male,13 years,Galway City Council,511
3736,Male,13 years,Galway County Council,1568
3737,Male,13 years,Leitrim County Council,259
3738,Male,13 years,Mayo  County Council,969
3739,Male,13 years,Roscommon County Council,549
3740,Male,13 years,Sligo County Council,480
3741,Male,13 years,Cavan County Council,709
3742,Male,13 years,Donegal County Council,1377
3743,Male,13 years,Monaghan County Council,518
3744,Male,14 years,Ireland,37352
3745,Male,14 years,Carlow County Council,486
3746,Male,14 years,Dublin City Council,2806
3747,Male,14 years,Dún Laoghaire Rathdown County Council,1453
3748,Male,14 years,Fingal County Council,2714
3749,Male,14 years,South Dublin County Council,2359
3750,Male,14 years,Kildare County Council,2037
3751,Male,14 years,Kilkenny County Council,855
3752,Male,14 years,Laois County Council,790
3753,Male,14 years,Longford County Council,372
3754,Male,14 years,Louth County Council,1089
3755,Male,14 years,Meath County Council,1841
3756,Male,14 years,Offaly County Council,687
3757,Male,14 years,Westmeath County Council,733
3758,Male,14 years,Wexford County Council,1213
3759,Male,14 years,Wicklow County Council,1246
3760,Male,14 years,Clare County Council,954
3761,Male,14 years,Cork City Council,1271
3762,Male,14 years,Cork County Council,2855
3763,Male,14 years,Kerry County Council,1102
3764,Male,14 years,Limerick City & County Council,1453
3765,Male,14 years,Tipperary County Council,1263
3766,Male,14 years,Waterford City & County Council,960
3767,Male,14 years,Galway City Council,456
3768,Male,14 years,Galway County Council,1538
3769,Male,14 years,Leitrim County Council,265
3770,Male,14 years,Mayo  County Council,974
3771,Male,14 years,Roscommon County Council,523
3772,Male,14 years,Sligo County Council,525
3773,Male,14 years,Cavan County Council,641
3774,Male,14 years,Donegal County Council,1329
3775,Male,14 years,Monaghan County Council,562
3776,Male,15 years,Ireland,35948
3777,Male,15 years,Carlow County Council,432
3778,Male,15 years,Dublin City Council,2713
3779,Male,15 years,Dún Laoghaire Rathdown County Council,1392
3780,Male,15 years,Fingal County Council,2528
3781,Male,15 years,South Dublin County Council,2147
3782,Male,15 years,Kildare County Council,1933
3783,Male,15 years,Kilkenny County Council,828
3784,Male,15 years,Laois County Council,747
3785,Male,15 years,Longford County Council,384
3786,Male,15 years,Louth County Council,1110
3787,Male,15 years,Meath County Council,1771
3788,Male,15 years,Offaly County Council,655
3789,Male,15 years,Westmeath County Council,703
3790,Male,15 years,Wexford County Council,1191
3791,Male,15 years,Wicklow County Council,1195
3792,Male,15 years,Clare County Council,981
3793,Male,15 years,Cork City Council,1323
3794,Male,15 years,Cork County Council,2795
3795,Male,15 years,Kerry County Council,1092
3796,Male,15 years,Limerick City & County Council,1409
3797,Male,15 years,Tipperary County Council,1250
3798,Male,15 years,Waterford City & County Council,954
3799,Male,15 years,Galway City Council,444
3800,Male,15 years,Galway County Council,1381
3801,Male,15 years,Leitrim County Council,265
3802,Male,15 years,Mayo  County Council,929
3803,Male,15 years,Roscommon County Council,511
3804,Male,15 years,Sligo County Council,512
3805,Male,15 years,Cavan County Council,628
3806,Male,15 years,Donegal County Council,1271
3807,Male,15 years,Monaghan County Council,474
3808,Male,16 years,Ireland,34646
3809,Male,16 years,Carlow County Council,431
3810,Male,16 years,Dublin City Council,2750
3811,Male,16 years,Dún Laoghaire Rathdown County Council,1381
3812,Male,16 years,Fingal County Council,2293
3813,Male,16 years,South Dublin County Council,2104
3814,Male,16 years,Kildare County Council,1803
3815,Male,16 years,Kilkenny County Council,783
3816,Male,16 years,Laois County Council,680
3817,Male,16 years,Longford County Council,340
3818,Male,16 years,Louth County Council,1052
3819,Male,16 years,Meath County Council,1705
3820,Male,16 years,Offaly County Council,600
3821,Male,16 years,Westmeath County Council,713
3822,Male,16 years,Wexford County Council,1197
3823,Male,16 years,Wicklow County Council,1077
3824,Male,16 years,Clare County Council,903
3825,Male,16 years,Cork City Council,1219
3826,Male,16 years,Cork County Council,2609
3827,Male,16 years,Kerry County Council,988
3828,Male,16 years,Limerick City & County Council,1436
3829,Male,16 years,Tipperary County Council,1160
3830,Male,16 years,Waterford City & County Council,945
3831,Male,16 years,Galway City Council,419
3832,Male,16 years,Galway County Council,1519
3833,Male,16 years,Leitrim County Council,265
3834,Male,16 years,Mayo  County Council,945
3835,Male,16 years,Roscommon County Council,503
3836,Male,16 years,Sligo County Council,461
3837,Male,16 years,Cavan County Council,611
3838,Male,16 years,Donegal County Council,1292
3839,Male,16 years,Monaghan County Council,462
3840,Male,17 years,Ireland,34981
3841,Male,17 years,Carlow County Council,463
3842,Male,17 years,Dublin City Council,2906
3843,Male,17 years,Dún Laoghaire Rathdown County Council,1374
3844,Male,17 years,Fingal County Council,2371
3845,Male,17 years,South Dublin County Council,2078
3846,Male,17 years,Kildare County Council,1884
3847,Male,17 years,Kilkenny County Council,726
3848,Male,17 years,Laois County Council,703
3849,Male,17 years,Longford County Council,331
3850,Male,17 years,Louth County Council,1032
3851,Male,17 years,Meath County Council,1613
3852,Male,17 years,Offaly County Council,638
3853,Male,17 years,Westmeath County Council,685
3854,Male,17 years,Wexford County Council,1204
3855,Male,17 years,Wicklow County Council,1168
3856,Male,17 years,Clare County Council,954
3857,Male,17 years,Cork City Council,1225
3858,Male,17 years,Cork County Council,2674
3859,Male,17 years,Kerry County Council,1057
3860,Male,17 years,Limerick City & County Council,1391
3861,Male,17 years,Tipperary County Council,1240
3862,Male,17 years,Waterford City & County Council,863
3863,Male,17 years,Galway City Council,438
3864,Male,17 years,Galway County Council,1457
3865,Male,17 years,Leitrim County Council,270
3866,Male,17 years,Mayo  County Council,946
3867,Male,17 years,Roscommon County Council,481
3868,Male,17 years,Sligo County Council,481
3869,Male,17 years,Cavan County Council,596
3870,Male,17 years,Donegal County Council,1236
3871,Male,17 years,Monaghan County Council,496
3872,Male,18 years,Ireland,33900
3873,Male,18 years,Carlow County Council,437
3874,Male,18 years,Dublin City Council,3143
3875,Male,18 years,Dún Laoghaire Rathdown County Council,1427
3876,Male,18 years,Fingal County Council,2221
3877,Male,18 years,South Dublin County Council,2022
3878,Male,18 years,Kildare County Council,1888
3879,Male,18 years,Kilkenny County Council,715
3880,Male,18 years,Laois County Council,665
3881,Male,18 years,Longford County Council,337
3882,Male,18 years,Louth County Council,999
3883,Male,18 years,Meath County Council,1593
3884,Male,18 years,Offaly County Council,637
3885,Male,18 years,Westmeath County Council,641
3886,Male,18 years,Wexford County Council,1142
3887,Male,18 years,Wicklow County Council,997
3888,Male,18 years,Clare County Council,860
3889,Male,18 years,Cork City Council,1360
3890,Male,18 years,Cork County Council,2443
3891,Male,18 years,Kerry County Council,985
3892,Male,18 years,Limerick City & County Council,1396
3893,Male,18 years,Tipperary County Council,1089
3894,Male,18 years,Waterford City & County Council,882
3895,Male,18 years,Galway City Council,512
3896,Male,18 years,Galway County Council,1332
3897,Male,18 years,Leitrim County Council,229
3898,Male,18 years,Mayo  County Council,873
3899,Male,18 years,Roscommon County Council,487
3900,Male,18 years,Sligo County Council,435
3901,Male,18 years,Cavan County Council,574
3902,Male,18 years,Donegal County Council,1175
3903,Male,18 years,Monaghan County Council,404
3904,Male,19 years,Ireland,32867
3905,Male,19 years,Carlow County Council,446
3906,Male,19 years,Dublin City Council,3669
3907,Male,19 years,Dún Laoghaire Rathdown County Council,1577
3908,Male,19 years,Fingal County Council,2167
3909,Male,19 years,South Dublin County Council,2041
3910,Male,19 years,Kildare County Council,1744
3911,Male,19 years,Kilkenny County Council,562
3912,Male,19 years,Laois County Council,593
3913,Male,19 years,Longford County Council,287
3914,Male,19 years,Louth County Council,894
3915,Male,19 years,Meath County Council,1507
3916,Male,19 years,Offaly County Council,545
3917,Male,19 years,Westmeath County Council,585
3918,Male,19 years,Wexford County Council,941
3919,Male,19 years,Wicklow County Council,965
3920,Male,19 years,Clare County Council,829
3921,Male,19 years,Cork City Council,1674
3922,Male,19 years,Cork County Council,2259
3923,Male,19 years,Kerry County Council,880
3924,Male,19 years,Limerick City & County Council,1467
3925,Male,19 years,Tipperary County Council,930
3926,Male,19 years,Waterford City & County Council,826
3927,Male,19 years,Galway City Council,758
3928,Male,19 years,Galway County Council,1212
3929,Male,19 years,Leitrim County Council,162
3930,Male,19 years,Mayo  County Council,734
3931,Male,19 years,Roscommon County Council,373
3932,Male,19 years,Sligo County Council,419
3933,Male,19 years,Cavan County Council,479
3934,Male,19 years,Donegal County Council,930
3935,Male,19 years,Monaghan County Council,412
3936,Male,20 years,Ireland,32120
3937,Male,20 years,Carlow County Council,444
3938,Male,20 years,Dublin City Council,3777
3939,Male,20 years,Dún Laoghaire Rathdown County Council,1535
3940,Male,20 years,Fingal County Council,2080
3941,Male,20 years,South Dublin County Council,1904
3942,Male,20 years,Kildare County Council,1744
3943,Male,20 years,Kilkenny County Council,560
3944,Male,20 years,Laois County Council,537
3945,Male,20 years,Longford County Council,315
3946,Male,20 years,Louth County Council,1037
3947,Male,20 years,Meath County Council,1454
3948,Male,20 years,Offaly County Council,504
3949,Male,20 years,Westmeath County Council,562
3950,Male,20 years,Wexford County Council,932
3951,Male,20 years,Wicklow County Council,908
3952,Male,20 years,Clare County Council,828
3953,Male,20 years,Cork City Council,1652
3954,Male,20 years,Cork County Council,2004
3955,Male,20 years,Kerry County Council,807
3956,Male,20 years,Limerick City & County Council,1428
3957,Male,20 years,Tipperary County Council,970
3958,Male,20 years,Waterford City & County Council,794
3959,Male,20 years,Galway City Council,882
